"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.","Município","Ano"
"1502939","Dom Eliseu (PA)","940611"
"1502954","Eldorado do Carajás (PA)","556042"
"1503002","Faro (PA)","76730"
"1503044","Floresta do Araguaia (PA)","602623"
"1503077","Garrafão do Norte (PA)","276033"
"1503093","Goianésia do Pará (PA)","506638"
"1503101","Gurupá (PA)","334287"
"1503200","Igarapé-Açu (PA)","415894"
"1503309","Igarapé-Miri (PA)","691233"
"1503408","Inhangapi (PA)","174628"
"1503457","Ipixuna do Pará (PA)","625213"
"1503507","Irituia (PA)","278006"
"1503606","Itaituba (PA)","3078558"
"1503705","Itupiranga (PA)","841956"
"1503754","Jacareacanga (PA)","625760"
"1503804","Jacundá (PA)","615695"
"1503903","Juruti (PA)","1451756"
"1504000","Limoeiro do Ajuru (PA)","503051"
"1504059","Mãe do Rio (PA)","340311"
"1504109","Magalhães Barata (PA)","98432"
"1504208","Marabá (PA)","13523145"
"1504307","Maracanã (PA)","289997"
"1504406","Marapanim (PA)","263657"
"1504422","Marituba (PA)","2578541"
"1504455","Medicilândia (PA)","1023972"
"1504505","Melgaço (PA)","216855"
"1504604","Mocajuba (PA)","452082"
"1504703","Moju (PA)","1348481"
"1504752","Mojuí dos Campos (PA)","288644"
"1504802","Monte Alegre (PA)","807340"
"1504901","Muaná (PA)","338764"
"1504950","Nova Esperança do Piriá (PA)","350842"
"1504976","Nova Ipixuna (PA)","192605"
"1505007","Nova Timboteua (PA)","147491"
"1505031","Novo Progresso (PA)","971539"
"1505064","Novo Repartimento (PA)","1117034"
"1505106","Óbidos (PA)","965930"
"1505205","Oeiras do Pará (PA)","419077"
"1505304","Oriximiná (PA)","2278575"
"1505403","Ourém (PA)","200629"
"1505437","Ourilândia do Norte (PA)","1302429"
"1505486","Pacajá (PA)","867605"
"1505494","Palestina do Pará (PA)","98769"
"1505502","Paragominas (PA)","4280508"
"1505536","Parauapebas (PA)","49763040"
"1505551","Pau D'Arco (PA)","114870"
"1505601","Peixe-Boi (PA)","72327"
"1505635","Piçarra (PA)","292755"
"1505650","Placas (PA)","323263"
"1505700","Ponta de Pedras (PA)","275230"
"1505809","Portel (PA)","945733"
"1505908","Porto de Moz (PA)","404677"
"1506005","Prainha (PA)","442969"
"1506104","Primavera (PA)","321726"
"1506112","Quatipuru (PA)","120882"
"1506138","Redenção (PA)","2552479"
"1506161","Rio Maria (PA)","601872"
"1506187","Rondon do Pará (PA)","734050"
"1506195","Rurópolis (PA)","496837"
"1506203","Salinópolis (PA)","641901"
"1506302","Salvaterra (PA)","210371"
"1506351","Santa Bárbara do Pará (PA)","240524"
"1506401","Santa Cruz do Arari (PA)","96043"
"1506500","Santa Izabel do Pará (PA)","935129"
"1506559","Santa Luzia do Pará (PA)","196168"
"1506583","Santa Maria das Barreiras (PA)","1072244"
"1506609","Santa Maria do Pará (PA)","371642"
"1506708","Santana do Araguaia (PA)","1381972"
"1506807","Santarém (PA)","6390528"
"1506906","Santarém Novo (PA)","60065"
"1507003","Santo Antônio do Tauá (PA)","475569"
"1507102","São Caetano de Odivelas (PA)","183191"
"1507151","São Domingos do Araguaia (PA)","359021"
"1507201","São Domingos do Capim (PA)","438410"
"1507300","São Félix do Xingu (PA)","2009122"
"1507409","São Francisco do Pará (PA)","264374"
"1507458","São Geraldo do Araguaia (PA)","710684"
"1507466","São João da Ponta (PA)","57407"
"1507474","São João de Pirabas (PA)","182168"
"1507508","São João do Araguaia (PA)","186890"
"1507607","São Miguel do Guamá (PA)","793139"
"1507706","São Sebastião da Boa Vista (PA)","245028"
"1507755","Sapucaia (PA)","141176"
"1507805","Senador José Porfírio (PA)","246281"
"1507904","Soure (PA)","241803"
"1507953","Tailândia (PA)","1291722"
"1507961","Terra Alta (PA)","83046"
"1507979","Terra Santa (PA)","519541"
"1508001","Tomé-Açu (PA)","1040635"
"1508035","Tracuateua (PA)","285330"
"1508050","Trairão (PA)","327523"
"1508084","Tucumã (PA)","984423"
"1508100","Tucuruí (PA)","5614501"
"1508126","Ulianópolis (PA)","1995884"
"1508159","Uruará (PA)","774530"
"1508209","Vigia (PA)","476787"
"1508308","Viseu (PA)","618568"
"1508357","Vitória do Xingu (PA)","4230778"
"1508407","Xinguara (PA)","1605020"
"1600055","Serra do Navio (AP)","92155"
"1600105","Amapá (AP)","159543"
"1600154","Pedra Branca do Amapari (AP)","453324"
"1600204","Calçoene (AP)","184496"
"1600212","Cutias (AP)","94625"
"1600238","Ferreira Gomes (AP)","578381"
"1600253","Itaubal (AP)","87891"
"1600279","Laranjal do Jari (AP)","1134587"
"1600303","Macapá (AP)","12938060"
"1600402","Mazagão (AP)","377734"
"1600501","Oiapoque (AP)","528919"
"1600535","Porto Grande (AP)","373966"
"1600550","Pracuúba (AP)","84589"
"1600600","Santana (AP)","2512717"
"1600709","Tartarugalzinho (AP)","261938"
"1600808","Vitória do Jari (AP)","236925"
"1700251","Abreulândia (TO)","112135"
"1700301","Aguiarnópolis (TO)","165480"
"1700350","Aliança do Tocantins (TO)","616571"
"1700400","Almas (TO)","273741"
"1700707","Alvorada (TO)","474111"
"1701002","Ananás (TO)","159769"
"1701051","Angico (TO)","48276"
"1701101","Aparecida do Rio Negro (TO)","255912"
"1701309","Aragominas (TO)","98441"
"1701903","Araguacema (TO)","240246"
"1702000","Araguaçu (TO)","349050"
"1702109","Araguaína (TO)","5239050"
"1702158","Araguanã (TO)","101858"
"1702208","Araguatins (TO)","529290"
"1702307","Arapoema (TO)","324523"
"1702406","Arraias (TO)","223310"
"1702554","Augustinópolis (TO)","305118"
"1702703","Aurora do Tocantins (TO)","58806"
"1702901","Axixá do Tocantins (TO)","141092"
"1703008","Babaçulândia (TO)","158741"
"1703057","Bandeirantes do Tocantins (TO)","178654"
"1703073","Barra do Ouro (TO)","113260"
"1703107","Barrolândia (TO)","122016"
"1703206","Bernardo Sayão (TO)","102684"
"1703305","Bom Jesus do Tocantins (TO)","139410"
"1703602","Brasilândia do Tocantins (TO)","75634"
"1703701","Brejinho de Nazaré (TO)","272945"
"1703800","Buriti do Tocantins (TO)","161641"
"1703826","Cachoeirinha (TO)","58547"
"1703842","Campos Lindos (TO)","1004931"
"1703867","Cariri do Tocantins (TO)","517715"
"1703883","Carmolândia (TO)","69222"
"1703891","Carrasco Bonito (TO)","50561"
"1703909","Caseara (TO)","389493"
"1704105","Centenário (TO)","64557"
"1704600","Chapada de Areia (TO)","39824"
"1705102","Chapada da Natividade (TO)","148973"
"1705508","Colinas do Tocantins (TO)","862139"
"1705557","Combinado (TO)","76524"
"1705607","Conceição do Tocantins (TO)","67829"
"1706001","Couto Magalhães (TO)","203473"
"1706100","Cristalândia (TO)","177294"
"1706258","Crixás do Tocantins (TO)","78645"
"1706506","Darcinópolis (TO)","241932"
"1707009","Dianópolis (TO)","644829"
"1707108","Divinópolis do Tocantins (TO)","249235"
"1707207","Dois Irmãos do Tocantins (TO)","216149"
"1707306","Dueré (TO)","204765"
"1707405","Esperantina (TO)","118724"
"1707553","Fátima (TO)","89100"
"1707652","Figueirópolis (TO)","256752"
"1707702","Filadélfia (TO)","129323"
"1708205","Formoso do Araguaia (TO)","1414038"
"1708254","Tabocão (TO)","232898"
"1708304","Goianorte (TO)","193502"
"1709005","Goiatins (TO)","230924"
"1709302","Guaraí (TO)","880403"
"1709500","Gurupi (TO)","2648420"
"1709807","Ipueiras (TO)","47772"
"1710508","Itacajá (TO)","186260"
"1710706","Itaguatins (TO)","82611"
"1710904","Itapiratins (TO)","171522"
"1711100","Itaporã do Tocantins (TO)","69980"
"1711506","Jaú do Tocantins (TO)","97865"
"1711803","Juarina (TO)","44395"
"1711902","Lagoa da Confusão (TO)","998445"
"1711951","Lagoa do Tocantins (TO)","89429"
"1712009","Lajeado (TO)","64405"
"1712157","Lavandeira (TO)","37870"
"1712405","Lizarda (TO)","66332"
"1712454","Luzinópolis (TO)","71180"
"1712504","Marianópolis do Tocantins (TO)","252331"
"1712702","Mateiros (TO)","252360"
"1712801","Maurilândia do Tocantins (TO)","55911"
"1713205","Miracema do Tocantins (TO)","642003"
"1713304","Miranorte (TO)","390325"
"1713601","Monte do Carmo (TO)","296288"
"1713700","Monte Santo do Tocantins (TO)","75004"
"1713809","Palmeiras do Tocantins (TO)","95357"
"1713957","Muricilândia (TO)","69465"
"1714203","Natividade (TO)","247340"
"1714302","Nazaré (TO)","58139"
"1714880","Nova Olinda (TO)","320311"
"1715002","Nova Rosalândia (TO)","100915"
"1715101","Novo Acordo (TO)","84723"
"1715150","Novo Alegre (TO)","35521"
"1715259","Novo Jardim (TO)","42672"
"1715507","Oliveira de Fátima (TO)","29469"
"1715705","Palmeirante (TO)","185349"
"1715754","Palmeirópolis (TO)","170118"
"1716109","Paraíso do Tocantins (TO)","1513693"
"1716208","Paranã (TO)","315397"
"1716307","Pau D'Arco (TO)","91169"
"1716505","Pedro Afonso (TO)","848671"
"1716604","Peixe (TO)","733929"
"1716653","Pequizeiro (TO)","107606"
"1716703","Colméia (TO)","182796"
"1717008","Pindorama do Tocantins (TO)","85006"
